timestamp,user_id,username,chat_id,topic_id,message
2025-02-25 15:53:34,833522284,afkafk00,-1002454851481,,Secondo me ieri nessuno
2025-02-25 15:53:40,277828600,dario_Ama,-1002454851481,1270,Zio ca
2025-02-25 15:53:50,277828600,dario_Ama,-1002454851481,1271,No guarda le presenze
